Article,neuf_price,occasion_price,description
Realme C53 256 Go Or,"139,01 €",N/A,"Ecran 6.74"" Réseau 4G Mémoire 256 Go / RAM 8 Go Android 13 Double SIM Couleur Champion d'or"
Realme 11 Pro+ 5G Dual-SIM 512 Go Beige,N/A,N/A,N/A
Realme C51 4G 6/256 Go Noir,N/A,N/A,N/A
Realme 11 Pro 5G Dual-SIM 256 Go Noir,N/A,N/A,N/A
Realme C67 4G 8/256 Go Black Rock,N/A,N/A,N/A
Realme 11 Pro+ 5G Dual-SIM 512 Go Beige,"527,28 €",N/A,"Ecran 6.7"" Réseau 5G Android 13 Dimensity 7050 5G Double SIM Couleur Beige soleil levant"
Realme GT5 Pro 12/256 Go Nuit Étoilée Noir,"629,99 €",N/A,
Realme 11 Pro Plus 5G Dual-SIM 12 / 512 go Vert Oasis,"368,89 €",N/A,Réseau 5G Mémoire 512 Go / RAM 12 Go Double SIM
Realme C53 128 Go Noir,125 €,N/A,"Ecran 6.74"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 13 Double SIM Couleur Noir puissant"
"Realme C55 8+256GB 6.72"" Rainy Night ITA",N/A,N/A,N/A
Realme 11 Pro Plus 5G Dual-SIM 12 / 512 go Vert Oasis,N/A,N/A,N/A
Realme 11 Pro 5G Dual-SIM 256 Go Beige,N/A,N/A,N/A
realme 12 Pro 17 cm (6.7') Double SIM Android 14 5G USB Type-C 12 Go 256 Go,"347,40 €",N/A,Réseau 5G Android Double SIM
Realme GT5 Pro 12/256 Go Rouge Roche Orange,"629,99 €",N/A,Mémoire 256 Go / RAM 12 Go
Realme 11 Pro+ 512 Go Noir,319 €,N/A,"Ecran 6.7"" Réseau 5G Mémoire 512 Go / RAM 12 Go Android 13 Dimensity 7050 5G Double SIM Couleur Noir astral"
Realme C67 4G 8/256 Go Black Rock,"164,99 €",N/A,Réseau 4G Mémoire 256 Go / RAM 8 Go
"Realme C55 8+256GB 6.72"" Rainy Night ITA","142,99 €","130,73 €",
Realme 11 Pro 5G Dual-SIM 256 Go Beige,"308,84 €",N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Double SIM
Realme GT 2 128 Go Vert papier,"557,99 €",N/A,"Ecran 6.62"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 12 Snapdragon 888 5G Double SIM Couleur Vert papier"
realme 12 Pro+ 17 cm (6.7') Double SIM Android 14 5G USB Type-C 12 Go 512 Go 5000 mAh Bleu,"423,25 €",N/A,Réseau 5G Android Double SIM
Realme 11 Pro+ 512 Go Noir,N/A,N/A,N/A
Realme C53 256 Go Noir,"135,90 €",N/A,"Ecran 6.74"" Réseau 4G Mémoire 256 Go / RAM 8 Go Android 13 Double SIM Couleur Noir puissant"
Realme 8 Pro 8/128 Go Double SIM Noir mat,277 €,N/A,"Ecran 6.4"" Réseau 4G Mémoire 128 Go / RAM 8 Go Android 11 Snapdragon 720G Double SIM Couleur Noir infini"
Realme C33 64 Go Noir marine,120 €,N/A,"Ecran 6.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 12 Double SIM Couleur Noir marine"
Realme C67 4G 8 Go/256 Go Sunny Oasis vert,"182,10 €",N/A,Réseau 4G
Realme note 50 4+128 Go DS 4G bleu ciel OEM,"110,84 €",N/A,Réseau 4G
Realme 9 5G 64 Go Blanc étoilé,129 €,N/A,"Ecran 6.6"" Réseau 5G Mémoire 64 Go / RAM 4 Go Android 12 Snapdragon 695 5G Double SIM Couleur Blanc étoilé"
Realme 10 AMOLED FHD+ 8/128GB Blanco Libre,"159,80 €",N/A,
Realme C11 (2021) 32 Go Gris,"105,53 €","74,57 €","Ecran 6.5"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 11 Double SIM Couleur Gris de fer"
Realme C25Y 128 Go Bleu glacier,"200,44 €",N/A,"Ecran 6.5"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 11 Double SIM Couleur Bleu glacier"
Realme C53 128 Go Or,125 €,"110,82 €","Ecran 6.74"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 13 Double SIM Couleur Champion d'or"
Realme 9 5G 128 Go Noir météore,"143,99 €",N/A,"Ecran 6.6"" Réseau 5G Mémoire 128 Go / RAM 4 Go Android 12 Snapdragon 695 5G Double SIM Couleur Noir météore"
Realme GT Master Edition 6/128 Go Gris,209 €,N/A,"Ecran 6.43"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android 11 Snapdragon 778G 5G Double SIM Couleur Gris voyageur"
Realme 11 5G Dual-SIM 256 Go Noir,"215,83 €",N/A,Réseau 5G Mémoire 256 Go / RAM 8 Go Double SIM
Realme note 50 4+128 Go DS 4G noir minuit OEM,"89,84 €",N/A,Réseau 4G
Realme 8 5G 64 Go Noir supersonique,135 €,N/A,"Ecran 6.5"" Réseau 5G Mémoire 64 Go / RAM 4 Go Android 11 Dimensity 700 5G Double SIM Couleur Noir supersonique"
Realme 8i 64 Go Noir spatial,"217,53 €",129 €,"Ecran 6.6"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 11 Helio G96 Double SIM Couleur Noir spatial"
Realme GT Neo 3 5G 12/256 Go Blanc,"708,60 €",300 €,Réseau 5G Mémoire 256 Go / RAM 12 Go
