Article,neuf_price,occasion_price,description
Huawei P30 Pro 256 Go (RAM 8 Go) Double SIM Aurora Bleu,"261,04 €",174 €,"Ecran 6.47"" Réseau 4G Mémoire 256 Go / RAM 8 Go Android 9.0 Pie Kirin 980 Double SIM Couleur Aurora"
Huawei Mate 20 128 Go Noir,N/A,N/A,N/A
Huawei P30 Pro 256 Go (RAM 8 Go) Double SIM Noir,N/A,N/A,N/A
Huawei P30 Pro 128 Go Lavande brumeuse,N/A,N/A,N/A
Huawei Mate 50 Pro 256 Argent,N/A,N/A,N/A
Huawei P30 128 Go (RAM 6 Go) Double SIM Aurora Bleu,"158,08 €",129 €,"Ecran 6.1"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 9.0 Pie Kirin 980 Double SIM Couleur Aurora"
Huawei P30 lite 128 Go (RAM 6 Go) Double SIM bleu Paon,"94,39 €","119,90 €",Mémoire 128 Go / RAM 6 Go Android Double SIM Couleur Bleu paon
Huawei P30 Pro 128 Go (RAM 8 Go) Double SIM Aurora Bleu,"208,24 €","174,90 €","Ecran 6.47"" Réseau 4G Mémoire 128 Go / RAM 8 Go Android 9.0 Pie Kirin 980 Double SIM Couleur Aurora"
Huawei P30 lite 128 Go Blanc perle,"98,33 €",99 €,"Ecran 6.15"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 9.0 Pie Kirin 710 Double SIM Couleur Blanc perle"
Huawei P20 Pro 128 Go Bleu nuit,N/A,N/A,N/A
Huawei P30 Pro 128 Go (RAM 8 Go) Double SIM Breathing Crystal Nacré,N/A,N/A,N/A
Huawei nova 5T 128 Go Bleu vague,N/A,N/A,N/A
Huawei Nova 8I 128 Go Noir étoilé,180 €,N/A,"Ecran 6.67"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 10 Snapdragon 662 Double SIM Couleur Noir étoilé"
Huawei P40 lite 5G 128 Go Argent spatial,"123,59 €",120 €,"Ecran 6.5"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android 10 Kirin 820 Double SIM Couleur Argent spatial"
Huawei Pura 70 Ultra Dual-SIM 512 Go Vert,1 499 €,N/A,Mémoire 512 Go / RAM 16 Go Android Double SIM
Huawei Nova 9 Double SIM 128 Go Noir,181 €,N/A,Mémoire 128 Go / RAM 8 Go Android Double SIM
Huawei P30 Pro 128 Go (RAM 8 Go) Double SIM Breathing Crystal Nacré,"208,95 €",157 €,"Ecran 6.47"" Réseau 4G Mémoire 128 Go / RAM 8 Go Android 9.0 Pie Kirin 980 Double SIM Couleur Nacré"
Huawei P30 Pro 256 Go (RAM 8 Go) Double SIM Noir,"256,32 €",205 €,"Ecran 6.47"" Réseau 4G Mémoire 256 Go / RAM 8 Go Android 9.0 Pie Kirin 980 Double SIM Couleur Noir"
Huawei P50 Pro 256 Go Noir doré,"654,99 €",N/A,"Ecran 6.6"" Réseau 4G Mémoire 256 Go / RAM 8 Go Android Snapdragon 888 Double SIM Couleur Noir doré"
Huawei P30 lite 128 Go (RAM 4 Go) Double SIM Bleu paon,"93,38 €",60 €,"Ecran 6.15"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 9.0 Pie Kirin 710 Double SIM Couleur Bleu paon"
Huawei P40 128 Go Double SIM Noir (Services Google non intégrés),N/A,N/A,N/A
Huawei P40 lite 5G 128 Go Noir minuit,N/A,N/A,N/A
Huawei P30 lite 128 Go Noir minuit,"93,32 €",90 €,"Ecran 6.15"" Réseau 4G Mémoire 128 Go / RAM 4 Go Android 9.0 Pie Kirin 710 Double SIM Couleur Noir minuit"
"Huawei Y7 Pro 2019 6.26"" FHD 4/64 Go 4000mAh Double SIM 4G - Noir","74,99 €",N/A,Réseau 4G Mémoire 64 Go / RAM 4 Go Android Double SIM
Huawei P50 256 Go (RAM 8 Go) Double SIM or,"549,14 €",N/A,Android Double SIM
Huawei P30 Pro 256 Go (RAM 8 Go) Double SIM Breathing Crystal Nacré,"255,49 €",191 €,"Ecran 6.47"" Réseau 4G Mémoire 256 Go / RAM 8 Go Android 9.0 Pie Kirin 980 Double SIM Couleur Nacré"
Huawei P30 Pro 128 Go (RAM 8 Go) Double SIM Noir Minuit,"209,43 €",175 €,"Ecran 6.47"" Réseau 4G Mémoire 128 Go / RAM 8 Go Android 9.0 Pie Kirin 980 Double SIM Couleur Noir"
Huawei P30 128 Go Double SIM Noir Minuit,"164,68 €",123 €,"Ecran 6.1"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 9.0 Pie Kirin 980 Double SIM Couleur Noir"
Huawei P50 256 Go (RAM 8 Go) Double SIM noir,"549,14 €",N/A,Android Double SIM
Huawei Mate 20 Pro 128Go twilight,"369,90 €",166 €,"Ecran 6"" Android"
Huawei nova 5T 128 Go Bleu vague,"178,99 €","121,99 €","Ecran 6.26"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 9.0 Pie Kirin 980 Double SIM Couleur Bleu vague"
Huawei Y5 2018 16 Go Noir,"186,51 €",N/A,"Ecran 5.45"" Réseau 4G Mémoire 16 Go / RAM 2 Go Android 8.1 Oreo Single-SIM (SIM unique) Couleur Noir"
Huawei P40 lite 5G 128 Go Vert crush,"161,94 €",N/A,"Ecran 6.5"" Réseau 5G Mémoire 128 Go / RAM 6 Go Android 10 Kirin 820 Double SIM Couleur Vert crush"
Huawei P20 Pro 128 Go Bleu nuit,"152,53 €",100 €,"Ecran 6.1"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 8.1 Oreo Kirin 970 Double SIM Couleur Bleu nuit"
Huawei P40 lite 128 Go Double SIM Noir minuit (Services Google non intégrés),"104,67 €",75 €,"Ecran 6.4"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 10 Kirin 810 Double SIM Couleur Noir"
Huawei P30 Pro 256 Go Noir,"281,15 €",280 €,"Ecran 6.47"" Réseau 4G Mémoire 256 Go / RAM 8 Go Android 9.0 Pie Kirin 980 Double SIM Couleur Noir"
Huawei P8 Lite 2017 16 Go Or,"89,99 €",N/A,"Ecran 5.2"" Réseau 4G Mémoire 16 Go / RAM 3 Go Android 7.0 Nougat Kirin 655 Double SIM Couleur Or"
Huawei P20 lite 64 Go Bleu klein,"85,88 €","76,46 €","Ecran 5.84"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 8.0 Oreo Kirin 659 Double SIM Couleur Bleu klein"
Huawei P40 128 Go Double SIM Argent givré (Services Google non intégrés),"339,98 €",N/A,"Ecran 6.1"" Réseau 5G Mémoire 128 Go / RAM 8 Go Android 10 Kirin 990 5G Double SIM Couleur Argent givré"
Huawei P20 lite 64 Go Noir minuit,"81,92 €",59 €,"Ecran 5.84"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 8.0 Oreo Kirin 659 Double SIM Couleur Noir minuit"
Huawei P20 Pro 128 Go Noir Double SIM,"145,87 €","109,90 €","Ecran 6.1"" Réseau 4G Mémoire 128 Go / RAM 6 Go Android 8.1 Oreo Kirin 970 Double SIM Couleur Noir"
