Article,neuf_price,occasion_price,description
BlackBerry Curve 8520 Noir,"47,58 €",N/A,"Ecran 2.46"" BlackBerry Handheld Software Single-SIM (SIM unique) Couleur Noir"
BlackBerry Q10 16 Go Blanc,"109,68 €",N/A,"Ecran 3.1"" Réseau 4G Mémoire 16 Go / RAM 2 Go BlackBerry 10 OS Snapdragon S4 Plus Single-SIM (SIM unique) Couleur Blanc"
BlackBerry KEY2 LE 64 Go Double SIM Ardoise,"468,80 €",N/A,"Ecran 4.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 8.1 Oreo Snapdragon 636 Double SIM Couleur Ardoise"
BlackBerry KEYone 64 Go Noir,"249,90 €",N/A,"Ecran 4.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 7.1 Nougat Snapdragon 625 Single-SIM (SIM unique) Couleur Noir"
BlackBerry Priv 32 Go Noir,"183,80 €",N/A,"Ecran 5.43"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 5.1.1 (Lollipop) Snapdragon 808 Single-SIM (SIM unique)"
BlackBerry Key2 LE 32 Go Gris ardoise,"409,68 €",N/A,"Ecran 4.5"" Réseau 4G Mémoire 32 Go / RAM 4 Go Android 8.1 Oreo Snapdragon 636 Single-SIM (SIM unique) Couleur Gris ardoise"
BlackBerry Pearl 3G 9105 Noir,73 €,N/A,"Ecran 4.5"" Réseau 3G BlackBerry Handheld Software Single-SIM (SIM unique) Couleur Noir"
BlackBerry Key2 LE 64 Go Champagne,"458,90 €",409 €,"Ecran 4.5"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 8.1 Oreo Snapdragon 636 Double SIM Couleur Champagne"
BlackBerry KEY2 64 Go noir,529 €,N/A,"Ecran 4.5"" Android 8.1 Oreo Single-SIM (SIM unique)"
BlackBerry Curve 3G 9300 Noir,57 €,N/A,"Ecran 2.44"" Réseau 3G BlackBerry Handheld Software Single-SIM (SIM unique) Couleur Noir"
BlackBerry Q10 16 Go Noir,"109,98 €",N/A,"Ecran 3.1"" Réseau 4G Mémoire 16 Go / RAM 2 Go BlackBerry 10 OS Single-SIM (SIM unique) Couleur Noir"
BlackBerry Key2 64 Go Argent,449 €,N/A,"Ecran 4.5"" Réseau 4G Mémoire 64 Go / RAM 6 Go Android 8.1 Oreo Snapdragon 660 Single-SIM (SIM unique) Couleur Argent"
BlackBerry Bold 9900 8 Go,"70,50 €",N/A,"Ecran 2.8"" Réseau 3G BlackBerry 7 OS MSM8655 Single-SIM (SIM unique)"
BlackBerry Curve 8520 Blanc,"47,28 €",N/A,"Ecran 2.64"" BlackBerry Handheld Software Single-SIM (SIM unique) Couleur Blanc"
BlackBerry KEYone 32 Go Noir,"209,90 €",N/A,"Ecran 4.5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 7.1 Nougat Snapdragon 625 Single-SIM (SIM unique) Couleur Noir"
BlackBerry Bold 9780 Noir,59 €,N/A,"Ecran 4.5"" Réseau 3G BlackBerry 6 OS Single-SIM (SIM unique) Couleur Noir"
BlackBerry Curve 9320 Noir,49 €,N/A,"Ecran 2.44"" Réseau 3G BlackBerry 7.1 OS Single-SIM (SIM unique) Couleur Noir"
BlackBerry KEYone 32 Go Argent,"209,90 €",N/A,"Ecran 4.5"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 7.1 Nougat Snapdragon 625 Single-SIM (SIM unique) Couleur Argent"
BlackBerry Q5 8 Go Noir,"109,98 €",N/A,"Ecran 3.1"" Réseau 4G Mémoire 8 Go / RAM 2 Go BlackBerry 10.1 OS Snapdragon S4 Single-SIM (SIM unique) Couleur Noir"
BlackBerry Q10 16 Go Noir - Clavier QWERTY,"109,88 €",N/A,"Ecran 3.1"" Réseau 4G Mémoire 16 Go / RAM 2 Go BlackBerry 10 OS Single-SIM (SIM unique) Couleur Noir"
BlackBerry Bold 9000 Noir,N/A,N/A,"Ecran 4.5"" Réseau 3G BlackBerry Handheld Software Single-SIM (SIM unique) Couleur Noir"
BlackBerry Torch 9810,"69,45 €",N/A,"Ecran 4.5"" Réseau 3G BlackBerry 7 OS Single-SIM (SIM unique)"
BlackBerry 7290,N/A,N/A,"Ecran 4.5"" BlackBerry Handheld Software Single-SIM (SIM unique)"
BlackBerry KEY2 LE 64 Go Noir ardoise,350 €,N/A,"Ecran 4.5"""
BlackBerry Leap 16 Go Gris,70 €,N/A,"Ecran 5"" Réseau 4G Mémoire 16 Go / RAM 2 Go BlackBerry 10 OS Snapdragon S4 Single-SIM (SIM unique) Couleur Gris"
Key2 (QWERTY),"472,88 €",N/A,
Smartphone BLACKBERRY Key2 Silver 64Go,"559,98 €",N/A,"Ecran 4.5"" Single-SIM (SIM unique)"
BlackBerry Bold 9780 Noir,59 €,N/A,"Ecran 4.5"" Réseau 3G BlackBerry 6 OS Single-SIM (SIM unique) Couleur Noir"
Smartphone BLACKBERRY Key2 Noir 64Go,528 €,N/A,"Ecran 4.5"" Single-SIM (SIM unique)"
BlackBerry Bold 9790 8 Go,65 €,N/A,"Ecran 2.45"" Réseau 3G BlackBerry 7 OS Single-SIM (SIM unique)"
BlackBerry Curve 9320 Argent,49 €,N/A,"Ecran 2.44"" Réseau 3G BlackBerry 7.1 OS Single-SIM (SIM unique) Couleur Argent"
BlackBerry DTEK60 32 Go Noir,185 €,N/A,"Ecran 5.5"" Réseau 4G Mémoire 32 Go / RAM 4 Go Android 6.0 (Marshmallow) Snapdragon 820 Single-SIM (SIM unique)"
BlackBerry Priv 32 Go Noir,189 €,N/A,"Ecran 5.43"" Réseau 4G Mémoire 32 Go / RAM 3 Go Android 5.1.1 (Lollipop) Snapdragon 808 Single-SIM (SIM unique) Couleur Noir"
Blackberry 9720 Black Qwerty Eu,69 €,N/A,"Ecran 2.8"" Single-SIM (SIM unique)"
