Article,neuf_price,occasion_price,description
Doro 2404 Noir,"64,53 €",N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Noir"
DORO 8200 64 Go Bleu foncé,"289,38 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 12 Single-SIM (SIM unique) Couleur Bleu foncé"
DORO 6880 Noir,99 €,60 €,Réseau 4G Mocor OS Single-SIM (SIM unique) Couleur Noir
Doro Dfc 0250 Noir,"29,98 €",N/A,Single-SIM (SIM unique)
DORO 780X 4 Go Noir,159 €,N/A,"Ecran 2.8"" Réseau 4G Mémoire 4 Go / RAM 512 Mo Double SIM Couleur Noir"
Doro PhoneEasy 410 Noir/Vert,49 €,N/A,Single-SIM (SIM unique)
Doro PhoneEasy 631 Blanc,45 €,N/A,"Ecran 3.7"" Réseau 3G Single-SIM (SIM unique) Couleur Blanc"
Doro Phone Easy 612 GSM téléphone portable débloqué BLACK/BLACK,55 €,N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
DORO 1380 Noir,"44,99 €",N/A,Double SIM Couleur Noir
DORO 1380 Rouge,"17,63 €",N/A,Double SIM Couleur Rouge
Doro PhoneEasy 612 Noir,45 €,N/A,Single-SIM (SIM unique) Couleur Noir
DORO 6040 Noir,"69,90 €","22,52 €","Ecran 2.8"" MT6260A Double SIM Couleur Noir"
Doro Primo 413 black,"82,58 €",45 €,"Ecran 3.7"" Single-SIM (SIM unique)"
DORO 8200 Plus 64 Go Bleu foncé,"338,13 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 12 Single-SIM (SIM unique) Couleur Bleu foncé"
Téléphone mobile DORO 6820 BLEU,"99,01 €",N/A,
Doro Primo 408 graphite,"75,85 €",N/A,
Doro PhoneEasy 621 Rouge,45 €,N/A,Single-SIM (SIM unique)
"Smartphone Doro 8100 Plus 6.1"" 32 Go Noir","280,35 €",N/A,
Doro PhoneEasy 613 Violet,30 €,N/A,Single-SIM (SIM unique)
"Smartphone Doro 8100 6.1"" 32 Go Noir","264,99 €",N/A,
DORO 2880 17 Mo Noir,"89,90 €","60,50 €",Réseau 4G Mocor OS Single-SIM (SIM unique)
DORO 2820 17 Mo Bleu,"75,90 €",N/A,"Ecran 2.8"" Réseau 4G Mocor OS Single-SIM (SIM unique)"
DORO 2880 17 Mo Rouge,"84,40 €",N/A,Réseau 4G Mocor OS Single-SIM (SIM unique)
DORO 8100 32 Go Gris,"312,37 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 11 (Go edition) Single-SIM (SIM unique) Couleur Gris"
DORO 8100 32 Go Gris,"258,75 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 11 (Go edition) Single-SIM (SIM unique) Couleur Gris"
DORO 1380 Rouge,"45,99 €",N/A,Double SIM Couleur Rouge
Doro PhoneEasy 409Gsm noir,40 €,N/A,Single-SIM (SIM unique)
DORO 1380 Noir,"49,90 €",N/A,Double SIM Couleur Noir
DORO 8100 32 Go Gris,"258,75 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 11 (Go edition) Single-SIM (SIM unique) Couleur Gris"
Dor 730x Bk | Doro 730x Graphit,"114,99 €",N/A,
DORO 6820 Noir,N/A,N/A,N/A
DORO 8100 PLUS 32 Go Gris,N/A,N/A,N/A
DORO 8100 32 Go Gris,"220,07 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 11 (Go edition) Single-SIM (SIM unique) Couleur Gris"
DORO 6880 Blanc,99 €,N/A,Réseau 4G Mocor OS Single-SIM (SIM unique) Couleur Blanc
DORO 8100 PLUS 32 Go Gris,"212,92 €",180 €,"Ecran 6.1"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 11 (Go edition) Single-SIM (SIM unique) Couleur Gris"
DORO 1880 17 Mo Rouge,"57,90 €",45 €,Réseau 4G Mocor OS Single-SIM (SIM unique)
DORO 6040 Rouge,"76,35 €",42 €,MT6260A Double SIM Couleur Rouge
Doro 2404 Rouge,"63,27 €",N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Rouge"
DORO 6050 Gris,50 €,N/A,"Ecran 2.8"" Single-SIM (SIM unique) Couleur Gris"
Doro Secure 580 Blanc,"89,95 €",N/A,"Ecran 3.7"" Réseau 3G Single-SIM (SIM unique) Couleur Blanc"
DORO 2820 17 Mo Rouge,"75,90 €",N/A,"Ecran 2.8"" Réseau 4G Mocor OS Single-SIM (SIM unique)"
Doro PhoneEasy 508 Graphite,"39,99 €",N/A,Single-SIM (SIM unique) Couleur Graphite
DORO 1880 17 Mo Noir,"57,90 €",N/A,Réseau 4G Mocor OS Single-SIM (SIM unique)
Doro 2404 Noir,"64,53 €",N/A,"Ecran 2.4"" Single-SIM (SIM unique) Couleur Noir"
DORO 8200 64 Go Bleu foncé,"289,38 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 12 Single-SIM (SIM unique) Couleur Bleu foncé"
DORO 6880 Noir,99 €,60 €,Réseau 4G Mocor OS Single-SIM (SIM unique) Couleur Noir
Doro Dfc 0250 Noir,"29,98 €",N/A,Single-SIM (SIM unique)
DORO 780X 4 Go Noir,159 €,N/A,"Ecran 2.8"" Réseau 4G Mémoire 4 Go / RAM 512 Mo Double SIM Couleur Noir"
Doro PhoneEasy 410 Noir/Vert,49 €,N/A,Single-SIM (SIM unique)
Doro PhoneEasy 631 Blanc,45 €,N/A,"Ecran 3.7"" Réseau 3G Single-SIM (SIM unique) Couleur Blanc"
Doro Phone Easy 612 GSM téléphone portable débloqué BLACK/BLACK,55 €,N/A,"Ecran 3.7"" Single-SIM (SIM unique)"
DORO 1380 Noir,"44,99 €",N/A,Double SIM Couleur Noir
DORO 1380 Rouge,"17,63 €",N/A,Double SIM Couleur Rouge
Doro PhoneEasy 612 Noir,45 €,N/A,Single-SIM (SIM unique) Couleur Noir
DORO 6040 Noir,"69,90 €","22,52 €","Ecran 2.8"" MT6260A Double SIM Couleur Noir"
Doro Primo 413 black,"82,58 €",45 €,"Ecran 3.7"" Single-SIM (SIM unique)"
DORO 8200 Plus 64 Go Bleu foncé,"338,13 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 64 Go / RAM 4 Go Android 12 Single-SIM (SIM unique) Couleur Bleu foncé"
Téléphone mobile DORO 6820 BLEU,"99,01 €",N/A,
Doro Primo 408 graphite,"75,85 €",N/A,
Doro PhoneEasy 621 Rouge,45 €,N/A,Single-SIM (SIM unique)
"Smartphone Doro 8100 Plus 6.1"" 32 Go Noir","280,35 €",N/A,
Doro PhoneEasy 613 Violet,30 €,N/A,Single-SIM (SIM unique)
"Smartphone Doro 8100 6.1"" 32 Go Noir","264,99 €",N/A,
DORO 2880 17 Mo Noir,"89,90 €","60,50 €",Réseau 4G Mocor OS Single-SIM (SIM unique)
DORO 2820 17 Mo Bleu,"75,90 €",N/A,"Ecran 2.8"" Réseau 4G Mocor OS Single-SIM (SIM unique)"
DORO 2880 17 Mo Rouge,"84,40 €",N/A,Réseau 4G Mocor OS Single-SIM (SIM unique)
DORO 8100 32 Go Gris,"312,37 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 11 (Go edition) Single-SIM (SIM unique) Couleur Gris"
DORO 8100 32 Go Gris,"258,75 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 11 (Go edition) Single-SIM (SIM unique) Couleur Gris"
DORO 1380 Rouge,"45,99 €",N/A,Double SIM Couleur Rouge
Doro PhoneEasy 409Gsm noir,40 €,N/A,Single-SIM (SIM unique)
DORO 1380 Noir,"49,90 €",N/A,Double SIM Couleur Noir
DORO 8100 32 Go Gris,"258,75 €",N/A,"Ecran 6.1"" Réseau 4G Mémoire 32 Go / RAM 2 Go Android 11 (Go edition) Single-SIM (SIM unique) Couleur Gris"
Dor 730x Bk | Doro 730x Graphit,"114,99 €",N/A,
